year,state,state_code,region,vfr_share_visitor,vfr_share_tourist,holiday_share_visitor,holiday_share_tourist,shopping_share_visitor,shopping_share_tourist,entertainment_share_visitor,entertainment_share_tourist,business_share_visitor,business_share_tourist,medical_share_visitor,medical_share_tourist,religious_share_visitor,religious_share_tourist,incentive_others_share_visitor,incentive_others_share_tourist
2024,Kelantan,MY-03,East Coast,47.64,61.2,16.77,15.05,20.73,13.03,2.09,2.6,0.68,1.28,2.22,0.12,0.57,0.4,9.3,6.32
2024,Melaka,MY-04,Southern,24.92,39.18,20.34,44.64,31.27,3.6,3.85,3.24,1.47,1.02,8.81,0.09,1.11,0.25,8.23,7.98
2024,Negeri Sembilan,MY-05,Central,26.2,48.05,11.41,37.28,35.51,6.6,4.99,1.11,0.13,5.14,15.82,0.31,1.96,0.21,3.98,1.3
2024,Pahang,MY-06,East Coast,29.04,46.13,17.39,40.33,33.84,3.52,3.06,2.04,0.26,0.31,4.62,0.25,0.86,0.77,10.93,6.65
2024,Perak,MY-08,Northern,44.49,63.84,12.14,20.68,24.88,7.0,2.87,1.61,0.69,0.69,5.24,0.27,0.56,0.07,9.13,5.84
2024,Perlis,MY-09,Northern,36.81,54.17,16.11,25.6,23.17,7.07,1.89,1.28,0.19,0.45,0.01,0.0,0.0,0.0,21.82,11.43
2024,Pulau Pinang,MY-07,Northern,24.63,52.44,10.88,29.67,30.72,6.77,7.41,3.61,1.18,1.13,6.18,0.4,1.26,0.31,17.74,5.67
2024,Sabah,MY-12,East Malaysia,27.49,38.41,15.09,33.91,26.59,6.92,7.64,7.08,1.51,2.21,4.95,2.09,9.54,1.88,7.19,7.5
2024,Sarawak,MY-13,East Malaysia,29.54,57.32,8.29,20.54,39.4,5.2,3.94,2.56,0.89,2.19,9.71,8.18,1.15,0.0,7.08,4.01
2024,Selangor,MY-10,Central,29.71,51.47,9.46,20.96,32.04,13.92,9.32,1.0,1.09,3.31,3.2,0.71,3.39,0.24,11.79,8.39
2024,Terengganu,MY-11,East Coast,39.57,47.14,12.75,35.47,35.34,5.74,3.39,5.07,0.43,0.63,3.41,0.25,1.21,0.0,3.9,5.7
2024,W.P. Kuala Lumpur,MY-14,Central,14.7,37.96,4.94,21.3,46.32,17.43,14.01,2.2,1.48,3.71,3.51,2.41,2.56,0.07,12.48,14.92
2024,W.P. Labuan,MY-15,East Malaysia,28.87,50.64,8.14,25.78,16.54,2.37,11.97,6.18,2.12,6.1,0.87,2.2,0.0,0.0,31.49,6.73
2024,W.P. Putrajaya,MY-16,Central,34.91,49.6,5.54,20.5,15.14,12.0,26.79,1.02,3.08,7.02,1.54,0.0,1.15,0.0,11.85,9.86
2025,Johor,MY-01,Southern,39.14,55.58,19.09,23.89,21.15,9.24,5.43,2.98,2.11,1.91,4.63,0.34,0.8,0.47,7.65,5.59
2025,Kedah,MY-02,Northern,41.85,62.93,13.64,23.3,18.13,3.45,5.9,2.19,2.63,3.93,4.12,0.61,1.36,1.64,12.37,1.95
2025,Kelantan,MY-03,East Coast,40.33,58.74,20.4,17.14,23.45,10.43,4.03,4.17,0.25,0.55,2.93,0.39,0.99,1.03,7.62,7.55
2025,Melaka,MY-04,Southern,26.82,43.0,18.9,41.23,35.38,3.84,1.79,0.96,0.13,0.31,13.18,1.18,0.51,0.61,3.29,8.87
2025,Negeri Sembilan,MY-05,Central,29.57,44.87,9.03,34.62,37.76,6.37,3.1,2.44,0.4,5.51,17.64,1.29,1.0,1.46,1.5,3.44
2025,Pahang,MY-06,East Coast,30.44,46.88,15.95,33.98,33.2,5.21,4.62,4.49,0.99,0.62,7.33,1.23,0.68,0.23,6.79,7.36
2025,Perak,MY-08,Northern,37.51,61.6,9.43,18.99,41.83,4.28,1.4,1.51,0.67,3.21,5.22,0.94,0.89,1.18,3.05,8.29
2025,Perlis,MY-09,Northern,42.69,52.0,15.24,35.04,22.57,0.62,5.67,3.44,1.72,2.36,3.36,3.77,0.73,0.12,8.02,2.65
2025,Pulau Pinang,MY-07,Northern,27.7,60.94,17.94,34.3,33.34,0.48,6.43,1.27,0.48,0.81,4.05,0.16,1.07,1.01,8.99,1.03
2025,Sabah,MY-12,East Malaysia,37.98,40.3,22.84,36.93,18.87,5.28,9.59,7.34,1.53,1.87,3.09,1.53,1.99,0.27,4.11,6.48
2025,Sarawak,MY-13,East Malaysia,30.24,59.32,19.03,22.28,35.68,6.52,1.66,2.38,1.57,1.49,4.64,1.5,0.78,0.8,6.4,5.71
2025,Selangor,MY-10,Central,30.07,50.51,18.94,32.5,34.28,7.04,4.5,2.67,1.21,0.54,2.04,0.05,4.69,0.84,4.27,5.85
2025,Terengganu,MY-11,East Coast,45.86,47.17,15.64,29.49,26.74,5.82,4.87,1.9,0.5,5.33,3.86,1.65,0.94,1.5,1.59,7.14
2025,W.P. Kuala Lumpur,MY-14,Central,39.01,35.54,13.23,28.69,22.63,10.18,11.36,3.91,1.32,8.92,2.3,3.05,0.96,1.48,9.19,8.23
2025,W.P. Labuan,MY-15,East Malaysia,30.19,64.04,9.53,20.23,36.41,1.32,10.93,0.73,0.79,1.56,3.45,5.76,0.19,0.41,8.51,5.95
2025,W.P. Putrajaya,MY-16,Central,30.89,69.07,5.83,24.12,16.68,1.14,21.51,2.1,10.62,1.38,0.92,0.68,0.96,0.14,12.59,1.37
