year,state,state_code,region,rank,district_name
2024,Pahang,MY-06,East Coast,1,Kuantan
2024,Pahang,MY-06,East Coast,2,Bentong
2024,Pahang,MY-06,East Coast,3,Cameron Highlands
2024,Pahang,MY-06,East Coast,4,Rompin
2024,Pahang,MY-06,East Coast,5,Temerloh
2024,Sarawak,MY-13,East Malaysia,1,Kuching
2024,Sarawak,MY-13,East Malaysia,2,Sibu
2024,Sarawak,MY-13,East Malaysia,3,Bintulu
2024,Sarawak,MY-13,East Malaysia,4,Miri
2024,Sarawak,MY-13,East Malaysia,5,Sri Aman
2025,Johor,MY-01,Southern,1,Johor Bahru
2025,Johor,MY-01,Southern,2,Batu Pahat
2025,Johor,MY-01,Southern,3,Muar
2025,Johor,MY-01,Southern,4,Kota Tinggi
2025,Johor,MY-01,Southern,5,Segamat
2025,Pulau Pinang,MY-07,Northern,1,Timur Laut
2025,Pulau Pinang,MY-07,Northern,2,Barat Daya
2025,Pulau Pinang,MY-07,Northern,3,Seberang Perai Tengah
2025,Pulau Pinang,MY-07,Northern,4,Seberang Perai Utara
2025,Pulau Pinang,MY-07,Northern,5,Seberang Perai Selatan
2025,Kedah,MY-02,Northern,1,Kota Setar
2025,Kedah,MY-02,Northern,2,Langkawi
2025,Kedah,MY-02,Northern,3,Kuala Muda
2025,Kedah,MY-02,Northern,4,Baling
2025,Kedah,MY-02,Northern,5,Kulim
2025,Perak,MY-08,Northern,1,Kinta
2025,Perak,MY-08,Northern,2,Larut & Matang
2025,Perak,MY-08,Northern,3,Manjung
2025,Perak,MY-08,Northern,4,Kuala Kangsar
2025,Perak,MY-08,Northern,5,Batang Padang
2025,Kelantan,MY-03,East Coast,1,Kota Bharu
2025,Kelantan,MY-03,East Coast,2,Bachok
2025,Kelantan,MY-03,East Coast,3,Pasir Mas
2025,Kelantan,MY-03,East Coast,4,Pasir Puteh
2025,Kelantan,MY-03,East Coast,5,Tanah Merah
2025,Selangor,MY-10,Central,1,Petaling
2025,Selangor,MY-10,Central,2,Sepang
2025,Selangor,MY-10,Central,3,Gombak
2025,Selangor,MY-10,Central,4,Kuala Selangor
2025,Selangor,MY-10,Central,5,Hulu Langat
2025,Melaka,MY-04,Southern,1,Melaka Tengah
2025,Melaka,MY-04,Southern,2,Alor Gajah
2025,Melaka,MY-04,Southern,3,Jasin
2025,Terengganu,MY-11,East Coast,1,Kuala Terengganu
2025,Terengganu,MY-11,East Coast,2,Kuala Nerus
2025,Terengganu,MY-11,East Coast,3,Kemaman
2025,Terengganu,MY-11,East Coast,4,Besut
2025,Terengganu,MY-11,East Coast,5,Dungun
2025,Negeri Sembilan,MY-05,Central,1,Seremban
2025,Negeri Sembilan,MY-05,Central,2,Port Dickson
2025,Negeri Sembilan,MY-05,Central,3,Tampin
2025,Negeri Sembilan,MY-05,Central,4,Kuala Pilah
2025,Negeri Sembilan,MY-05,Central,5,Jempol
2025,Sabah,MY-12,East Malaysia,1,Kota Kinabalu
2025,Sabah,MY-12,East Malaysia,2,Ranau
2025,Sabah,MY-12,East Malaysia,3,Tawau
2025,Sabah,MY-12,East Malaysia,4,Sandakan
2025,Sabah,MY-12,East Malaysia,5,Keningau
2025,Pahang,MY-06,East Coast,1,Kuantan
2025,Pahang,MY-06,East Coast,2,Bentong
2025,Pahang,MY-06,East Coast,3,Cameron Highlands
2025,Pahang,MY-06,East Coast,4,Rompin
2025,Pahang,MY-06,East Coast,5,Temerloh
2025,Sarawak,MY-13,East Malaysia,1,Kuching
2025,Sarawak,MY-13,East Malaysia,2,Sibu
2025,Sarawak,MY-13,East Malaysia,3,Bintulu
2025,Sarawak,MY-13,East Malaysia,4,Miri
2025,Sarawak,MY-13,East Malaysia,5,Sri Aman
