year,state,state_code,region,visitors_thousands,tourists_thousands,excursionists_thousands,alos_days,total_expenditure_rm_million,accommodation_expenditure_rm_million,food_expenditure_rm_million,shopping_expenditure_rm_million,transport_expenditure_rm_million,accommodation_share,hotel_rooms_kpi,total_population_thousands,working_age_thousands,households_thousands,households_count,resident_median_income_rm,avg_household_size,feeder_hhi,top_origin_share_pct,tourist_nights_k,total_visitor_days_k,tey_rm_per_day,epr_ratio,attributable_gva_rm_million,dvr_retention_rate_pct,tir_visitors_per_resident,tir_tourists_per_resident,ryh_accom_per_household_rm,sdg_diagnosis,sdg_policy_action,sdg_status_color
2019,Negeri Sembilan,MY-05,Central,13303.04,5965.53,7337.51,2.46,5071.03,678.04,723.46,1396.06,276.31,0.1337,12332.0,1126.2,778.4,270.8,270800,5005.0,4.16,2161.4,34.98,14675.2038,22012.713799999998,230.4,1.23,2379.7,46.9,11.81,5.3,2503.8,Value Growth Frontier,Healthy absorption capacity with significant upside to expand length of stay and accommodation spend. Priority: Expand accommodation inventory and targeted promotion.,#8b5cf6
2021,Negeri Sembilan,MY-05,Central,5485.17,1209.29,4275.88,1.72,1213.39,63.63,156.53,612.84,34.65,0.0524,11096.0,1204.2,817.2,295.894,295894,5151.3,4.07,2424.6,38.84,2079.9788,6355.8588,190.9,3.54,684.9,56.4,4.56,1.0,215.0,Sustainable High-Value Benchmark,Exceptional domestic value retention and high economic return per visitor-day. Priority: Monitor carrying capacity and safeguard natural/cultural assets.,#10b981
2022,Negeri Sembilan,MY-05,Central,11490.14,3760.82,7729.32,2.48,3651.34,398.55,599.65,1390.42,224.82,0.1092,11129.0,1207.9,820.3,309.3,309300,5226.0,3.91,1888.58,26.86,9326.8336,17056.153599999998,214.1,2.06,1827.9,50.1,9.51,3.11,1288.6,Value Growth Frontier,Healthy absorption capacity with significant upside to expand length of stay and accommodation spend. Priority: Expand accommodation inventory and targeted promotion.,#8b5cf6
2023,Negeri Sembilan,MY-05,Central,14959.47,4255.45,10704.02,2.42,4777.28,521.77,797.14,1803.08,248.82,0.1092,10643.0,1224.9,836.6,315.978,315978,5405.4,3.88,2284.05,36.49,10298.188999999998,21002.209,227.5,2.52,2396.9,50.2,12.21,3.47,1651.3,Value Growth Frontier,Healthy absorption capacity with significant upside to expand length of stay and accommodation spend. Priority: Expand accommodation inventory and targeted promotion.,#8b5cf6
2024,Negeri Sembilan,MY-05,Central,17784.53,5987.54,11796.99,2.25,5869.46,539.42,1008.17,1955.55,363.51,0.0919,10856.0,1239.5,850.5,322.801,322801,5591.0,3.84,1900.61,30.32,13471.965,25268.955,232.3,1.97,2927.0,49.9,14.35,4.83,1671.1,Value Growth Frontier,Healthy absorption capacity with significant upside to expand length of stay and accommodation spend. Priority: Expand accommodation inventory and targeted promotion.,#8b5cf6
2025,Negeri Sembilan,MY-05,Central,19356.54,6547.02,12809.52,2.29,6529.26,567.6,1151.8,2166.54,417.57,0.0869,11527.0,1243.9,857.0,329.771,329771,5783.0,3.77,1888.07,30.24,14992.6758,27802.1958,234.8,1.96,3265.5,50.0,15.56,5.26,1721.2,Carrying Capacity Volume Pressure,High visitor intensity (15.6 visitors per resident). Priority: Shift from visitor volume targets to yield-per-visitor optimization.,#3b82f6
2018,Pahang,MY-06,East Coast,18111.36,9154.18,8957.17,2.46,7404.83,964.11,1118.07,2144.27,242.1,0.1302,28431.0,1664.7,1125.0,342.659,342659,4280.7,4.86,1881.44,26.74,22519.2828,31476.4528,235.2,0.98,3540.4,47.8,10.88,5.5,2813.6,Value Growth Frontier,Healthy absorption capacity with significant upside to expand length of stay and accommodation spend. Priority: Expand accommodation inventory and targeted promotion.,#8b5cf6
2019,Pahang,MY-06,East Coast,18497.58,9494.24,9003.34,2.49,7600.75,943.96,1180.78,2181.35,246.05,0.1242,28203.0,1671.4,1130.4,348.8,348800,4440.0,4.79,1726.3,30.51,23640.657600000002,32643.997600000002,232.8,0.95,3651.1,48.0,11.07,5.68,2706.3,Value Growth Frontier,Healthy absorption capacity with significant upside to expand length of stay and accommodation spend. Priority: Expand accommodation inventory and targeted promotion.,#8b5cf6
2020,Pahang,MY-06,East Coast,9905.0,5214.55,4690.45,1.93,2748.05,289.7,523.78,1210.22,109.35,0.1054,31175.0,1591.3,1066.4,359.721,359721,4542.0,4.42,1893.39,32.27,10064.0815,14754.531500000001,186.3,0.9,1423.0,51.8,6.22,3.28,805.3,Value Growth Frontier,Healthy absorption capacity with significant upside to expand length of stay and accommodation spend. Priority: Expand accommodation inventory and targeted promotion.,#8b5cf6
2021,Pahang,MY-06,East Coast,3404.77,1273.79,2130.99,1.92,914.38,86.28,115.36,390.95,33.58,0.0944,33603.0,1601.5,1079.1,370.984,370984,4646.3,4.32,2676.9,47.13,2445.6767999999997,4576.666799999999,199.8,1.67,480.7,52.6,2.13,0.8,232.6,Single-Origin Fragility,Excessive market concentration (HHI: 2677) with over-reliance on a single origin feeder. Priority: Aggressively diversify marketing to secondary origin states.,#ef4444
