year,state,total_population_thousands,total_population_millions,children_0_14_thousands,dts_15_24_thousands,dts_25_39_thousands,dts_40_54_thousands,dts_55plus_thousands,adult_15plus_thousands,working_age_thousands,elderly_65plus_thousands,children_pct,working_age_pct,elderly_pct,dts_15_24_pct,dts_25_39_pct,dts_40_54_pct,dts_55plus_pct,dependency_ratio,state_code,region,households_thousands,households_count,median_household_income_rm,mean_household_income_rm,avg_household_size,data_status
2020,Perlis,284.9,0.2849,58.2,69.4,59.8,51.5,45.9,226.6,204.2,22.4,20.4,71.7,7.9,30.6,26.4,22.7,20.3,39.5,MY-09,Northern,63.994,63994,4633.3,5538.0,4.45,official_dosm_estimates
2021,Perlis,287.6,0.2876,57.3,69.1,62.1,52.3,46.8,230.3,207.3,23.0,19.9,72.1,8.0,30.0,27.0,22.7,20.3,38.7,MY-09,Northern,69.647,69647,4673.0,5600.6,4.13,official_dosm_estimates
2022,Perlis,289.8,0.2898,57.5,66.8,64.8,53.5,47.1,232.2,208.9,23.3,19.8,72.1,8.0,28.8,27.9,23.0,20.3,38.7,MY-09,Northern,75.8,75800,4713.0,5664.0,3.82,official_dosm_estimates
2023,Perlis,293.1,0.2931,57.2,64.7,68.8,54.4,47.9,235.8,211.9,23.9,19.5,72.3,8.2,27.4,29.2,23.1,20.3,38.3,MY-09,Northern,77.923,77923,4830.0,5827.6,3.76,official_dosm_estimates
2024,Perlis,296.8,0.2968,58.0,61.4,72.9,56.1,48.5,238.9,214.4,24.5,19.5,72.2,8.3,25.7,30.5,23.5,20.3,38.5,MY-09,Northern,80.105,80105,4950.0,5996.0,3.71,official_dosm_estimates
2025,Perlis,297.0,0.297,57.3,58.2,74.2,58.1,49.5,240.0,214.6,25.4,19.3,72.3,8.6,24.3,30.9,24.2,20.6,38.5,MY-09,Northern,82.348,82348,5072.9,6169.2,3.61,official_dosm_estimates
2018,Pulau Pinang,1762.8,1.7628,341.2,304.5,475.7,330.9,310.5,1421.6,1274.3,147.3,19.4,72.3,8.4,21.4,33.5,23.3,21.8,38.3,MY-07,Northern,442.652,442652,5904.5,7424.2,3.98,official_dosm_estimates
2019,Pulau Pinang,1768.8,1.7688,337.2,299.1,479.4,333.2,320.0,1431.7,1278.2,153.5,19.1,72.3,8.7,20.9,33.5,23.3,22.4,38.4,MY-07,Northern,448.7,448700,6169.0,7774.0,3.94,official_dosm_estimates
2020,Pulau Pinang,1740.4,1.7404,349.8,290.0,476.3,338.1,286.3,1390.7,1275.6,115.1,20.1,73.3,6.6,20.9,34.2,24.3,20.6,36.4,MY-07,Northern,458.357,458357,6278.1,7935.0,3.8,official_dosm_estimates
2021,Pulau Pinang,1740.0,1.74,342.9,283.0,475.6,341.8,296.5,1396.9,1274.4,122.5,19.7,73.2,7.0,20.3,34.0,24.5,21.2,36.5,MY-07,Northern,468.222,468222,6389.0,8099.3,3.72,official_dosm_estimates
2022,Pulau Pinang,1740.9,1.7409,336.6,277.4,475.6,346.5,304.9,1404.4,1275.8,128.6,19.3,73.3,7.4,19.8,33.9,24.7,21.7,36.5,MY-07,Northern,478.3,478300,6502.0,8267.0,3.64,official_dosm_estimates
2023,Pulau Pinang,1772.6,1.7726,337.4,278.3,486.1,354.8,315.9,1435.1,1299.1,136.0,19.0,73.3,7.7,19.4,33.9,24.7,22.0,36.4,MY-07,Northern,484.995,484995,6929.9,8698.3,3.65,official_dosm_estimates
2024,Pulau Pinang,1800.5,1.8005,337.0,278.9,493.9,362.8,327.8,1463.4,1319.1,144.3,18.7,73.3,8.0,19.1,33.8,24.8,22.4,36.5,MY-07,Northern,491.784,491784,7386.0,9152.0,3.66,official_dosm_estimates
2025,Pulau Pinang,1804.3,1.8043,331.7,274.5,491.1,368.4,338.6,1472.6,1320.7,151.9,18.4,73.2,8.4,18.6,33.3,25.0,23.0,36.6,MY-07,Northern,498.668,498668,7872.1,9629.4,3.62,official_dosm_estimates
2018,Sabah,3898.4,3.8984,923.7,913.9,1168.4,553.9,338.5,2974.7,2846.0,128.7,23.7,73.0,3.3,30.7,39.3,18.6,11.4,37.0,MY-12,East Malaysia,506.411,506411,4193.1,5611.6,7.7,official_dosm_estimates
